libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Treillières,La Chapelle-sur-Erdre,8734,"29,05",Centre,"11,79",MACRON,MÉLENCHON,FILLON,MACRON,"80,42",du parc des Naudières
Trignac,Saint-Nazaire,7636,"14,38",Gauche,"21,62",MÉLENCHON,MACRON,LE PEN,MACRON,"63,73",du paquebot
La Turballe,Guérande,4460,"18,53",Centre,"16,76",MACRON,FILLON,MÉLENCHON,MACRON,"73,61",du sel de Guérande
Vallet,Vallet,8838,"58,96",Centre,"13,55",MACRON,FILLON,MÉLENCHON,MACRON,"75,73",du zoo de La Boissière-du-Doré
Loireauxence,Ancenis,7480,"118,28",Droite,"15,72",MACRON,LE PEN,FILLON,MACRON,"66,39",du château d'Ancenis
Vay,Guéméné-Penfao,2071,"36,13",Gauche,"14,67",MÉLENCHON,LE PEN,MACRON,MACRON,"64,32",de la vache Nantaise
Vertou,Vertou,23124,"35,68",Centre,13,MACRON,FILLON,MÉLENCHON,MACRON,"84,2",des vignes
Vieillevigne,Clisson,3964,"51,76",Centre,"15,75",MACRON,FILLON,MÉLENCHON,MACRON,"70,52",du Hellfest
Vigneux-de-Bretagne,La Chapelle-sur-Erdre,5822,"54,68",Centre,"11,35",MACRON,MÉLENCHON,FILLON,MACRON,"79,74",du parc des Naudières
Villepot,Châteaubriant,668,"20,59",Droite,"16,73",FILLON,LE PEN,MACRON,MACRON,"62,78",de la carrière des fusillés
Vritz,Ancenis,767,"32,89",Droite,"20,39",FILLON,LE PEN,MACRON,MACRON,"58,11",du château d'Ancenis
Vue,Machecoul,1608,"19,51",Gauche,"17,45",MÉLENCHON,LE PEN,MACRON,MACRON,"62,5",de la forêt de Machecoul
La Chevallerais,Guéméné-Penfao,1563,"10,23",Gauche,"10,82",MÉLENCHON,MACRON,LE PEN,MACRON,"68,72",de la vache Nantaise
La Roche-Blanche,Ancenis,3260,"14,82",Droite,"9,55",MACRON,FILLON,LE PEN,MACRON,"68,62",du château d'Ancenis
Geneston,Saint-Philbert-de-Grand-Lieu,3636,"8,04",Centre,"18,22",MACRON,FILLON,MÉLENCHON,MACRON,"72,93",des vignes
La Grigonnais,Guéméné-Penfao,1651,"21,22",Gauche,"13,49",MÉLENCHON,MACRON,FILLON,MACRON,"70,95",de la vache Nantaise
